,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040430,0.012070596,-0.001175626,0.007124956,-0.030565349,-0.028124111,-0.020365184,-0.015936768,,-0.017519022,,,,-0.010745961,-0.009329708
20040503,-0.010821554,-0.022332468,-0.022410893,-0.017656984,,-0.012212313,,,-0.002288037,,,-0.002374694,-0.0247367,-0.02139946
20040504,,-0.024896694,-0.01848867,,-0.010885998,-0.009316558,-0.004642291,,-0.002633025,-0.016330915,-0.025053451,-0.020771256,-0.012692337,
20040505,,-0.027465611,-0.022126124,-0.017769033,-0.023104132,,-0.004974522,-0.039378775,,-0.034049671,-0.025909616,-0.02133602,-0.032001449,-0.015326528
20040506,-0.049053308,-0.013256841,-0.014726175,-0.011053851,,-0.019770894,-0.018429786,-0.014598706,-0.01723472,,-0.010839356,,-0.027199576,-0.007938968
20040507,-0.058938475,-0.01255442,-0.016389127,,-0.029878955,,-0.018770286,,-0.01563766,-0.018571486,-0.013277504,-0.019532357,-0.008007657,-0.014214722
20040510,-0.106451781,-0.015055765,-0.026213804,-0.030636033,-0.014938614,-0.024932074,-0.020010678,-0.034582205,-0.003952834,-0.005906407,-0.001098431,-0.024396419,-0.006016191,-0.031323244
20040511,0.001004792,-0.019455677,-0.007798847,-0.030318085,-0.007909693,-0.016854664,,-0.018930016,-0.014545485,-0.016022474,-0.019326278,-0.016664246,-0.01094276,-0.026081995
20040512,-0.023911229,-0.013173122,-0.009258291,-0.009123603,-0.005600381,0.002977529,-0.017227478,-0.002487826,0.001023455,-0.007586522,0.002461673,-0.032105905,0.007136536,-0.021094162
20040513,-0.033478003,0.001643848,-0.027359476,,,-0.012585611,,-0.046651024,-0.012538942,,-0.017107348,-0.027940067,-0.031526004,-0.011004286
20040514,-0.006648587,0.043759584,-0.025612937,-0.023098629,,-0.01309257,-0.020502557,-0.021016414,-0.012871885,,-0.010615361,-0.010412366,0.00738384,-0.009439128
20040517,-0.070694498,-0.010373449,-0.01320233,-0.016334076,,-0.00997593,-0.009757317,-0.004832554,-0.003011368,-0.027565541,-0.021291846,-0.016165596,-0.006598167,-0.014319477
20040518,0.025364706,-0.012829592,-0.004686751,-0.012973832,-0.016096847,-0.018246531,-0.032899142,,,-0.009752018,-0.018955023,-0.012383082,-0.019664465,
20040519,0.146665433,-0.021106768,-0.014686492,-0.029984716,-0.010485297,-0.012191147,,-0.005080841,-0.007233676,-0.009240577,0.018052344,0.010272063,0.001524137,-0.009880839
20040520,,-0.016583495,-0.014272471,-0.009020451,-0.001617479,-0.010958093,-0.008541093,-0.022642104,-0.019972158,-0.011884355,-0.010175937,-0.01452421,-0.019038058,-0.003163387
20040521,-0.000836751,-0.009906646,0.001090962,-0.02148906,0.007689287,-0.012234172,-0.01288542,-0.034197383,,-0.018748446,0.001020866,-0.012412096,-0.021269427,-0.015743438
20040524,0.025531477,-0.014050359,-0.002489798,-0.010916262,0.011154426,-0.016083882,-0.010395289,-0.003202699,,-0.014703591,,,,-0.010588068
20040525,-0.017550535,-0.009684689,-0.028617435,-0.031408077,,-0.028489788,-0.033882986,-0.03015085,-0.019245897,-0.014259155,-0.019798763,-0.01309697,-0.010161736,-0.011508011
