,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040325,,-0.012520858,-0.023688369,-0.028881039,,-0.032563084,-0.031315734,-0.034617519,,,,,-0.031277704,-0.030392791
20040326,,-0.033525057,,-0.016013587,-0.023383524,,,-0.027103136,,,,,-0.024381573,-0.031548961
20040329,0.02483596,-0.02736376,-0.024108075,-0.032356776,-0.042196934,-0.022592321,-0.015836756,,-0.021190406,-0.022433346,-0.020379321,-0.165271076,,
20040330,-0.021523396,-0.034151888,,,,,,-0.016710842,,-0.042968315,,,,-0.019897033
20040331,,-0.007921451,-0.005820814,-0.026820451,,-0.021843658,,,-0.019979924,,-0.02856986,,-0.009807972,-0.019351568
20040401,,-0.019643155,-0.032992187,-0.018977913,-0.015743607,-0.018649306,-0.019515208,,,,-0.019195498,-0.024159711,-0.01376624,-0.020865791
20040402,-0.01151144,-0.025523511,-0.021141159,-0.000405055,-0.018933208,,-0.020968435,-0.02265497,-0.013210569,-0.024676609,-0.005823033,-0.022816353,-0.023623184,-0.036954703
20040405,-0.015181394,,,,,-0.017677522,-0.025663124,-0.026987782,,-0.019167267,-0.019926924,-0.019404602,-0.01516335,-0.037226531
20040406,-0.027668232,-0.017582223,-0.018315496,-0.0162049,-0.023250375,,,,-0.01825151,-0.014364053,,-0.013614256,,-0.025772977
20040407,,-0.020618732,-0.005770165,-0.01447117,-0.020084742,-0.017312131,,-0.018872993,-0.019616377,,,-0.025466652,,-0.020955236
20040408,0.007941027,,-0.022537068,-0.014440306,,,,,,-0.029578276,,-0.024959403,-0.024307661,-0.025282273
20040412,-0.014991685,-0.020228595,-0.012860197,-0.021488269,-0.014958481,-0.01956264,-0.016102941,,-0.013764487,,-0.015062295,-0.007486108,-0.021497566,-0.016438345
20040413,-0.001463841,-0.019952765,-0.014380527,,-0.017035031,-0.004588328,-0.478354977,-0.009495738,-0.016235309,-0.015984056,-0.024279439,-0.014111175,-0.022121688,-0.019394579
20040414,-0.047493534,-0.021838414,-0.029174036,-0.01458597,-0.01506384,-0.020153549,-0.016722477,,-0.010921315,-0.0138158,-0.008952847,-0.005682798,-0.023629896,-0.021551905
20040415,-0.009521016,-0.013770724,-0.011545484,-0.007455177,-0.020308251,-0.008501384,-0.022543243,-0.026982591,-0.023968674,0.0006586,-0.025050192,-0.015573881,-0.027103542,-0.023211571
20040416,-0.014001177,-0.004318111,-0.019615772,-0.024788747,-0.014492501,-0.015717538,-0.017138852,-0.013427125,-0.016322771,-0.011540887,-0.012824388,-0.00715948,-0.012522596,-0.031116397
20040419,-0.019518812,-0.019554083,-0.025690405,-0.008310663,-0.026658111,-0.009023775,-0.019895479,-0.011861614,-0.016146981,,,,-0.018051885,
20040420,-0.021056502,-0.027002345,-0.021696045,-0.011289104,-0.01983187,-0.013197023,,-0.025580162,-0.010283427,,,-0.03363209,-0.007204388,-0.014595123
